t_ns,t_bag_ns,x,y,yaw,qz,qw,v_lin,w_ang
1784885672291882008,1784885672297643741,2.4293103694911533,0.08984917892619249,0.07908523082733154,0.039532311292221206,0.999218292648756,0.0,3.814954317246896e-05
1784885672341931243,1784885672354775154,2.4293103694911533,0.08984917892619249,0.0790863037109375,0.039532847314677995,0.9992182714418278,0.0,2.1436563535027683e-05
1784885672391838924,1784885672397261000,2.4293103694911533,0.08984917892619249,0.0790873169898987,0.03953335355809896,0.9992182514127984,0.0,2.0303066399371284e-05
1784885672441943799,1784885672455858468,2.4293103694911533,0.08984917892619249,0.07908833026885985,0.03953385980150978,0.9992182313835124,0.0,2.0223161143135086e-05
1784885672491884198,1784885672495540835,2.4293356010551066,0.0898511786823365,0.0790932774543762,0.03953633146036982,0.9992181335897862,0.0005068178642857514,9.906179396679272e-05
1784885672541817875,1784885672557158677,2.429310369499438,0.08984917882167016,0.07909661531448364,0.03953799908548812,0.9992180676050229,-0.0005068860913799373,6.68458705218499e-05
1784885672591931138,1784885672598912311,2.429310369499438,0.08984917882167016,0.0790891647338867,0.03953427670784048,0.9992182148886137,0.0,-0.00014867482480483915
1784885672641806027,1784885672646891094,2.429310369499438,0.08984917882167016,0.07909154891967773,0.03953546786874742,0.9992181677593733,0.0,4.780333026937915e-05
1784885672691792215,1784885672702618814,2.429310369499438,0.08984917882167016,0.07910454273223877,0.03954195969470271,0.9992179108800555,0.0,0.00025994805927259657
1784885672741848634,1784885672752666068,2.429310369499438,0.08984917882167016,0.07910054922103882,0.039539964500664736,0.999217989833693,0.0,-7.978020161512497e-05
1784885672791806789,1784885672794506931,2.429310369499438,0.08984917882167016,0.07910168170928955,0.0395405303019751,0.9992179674442602,0.0,2.2668736480208725e-05
1784885672841778553,1784885672852503945,2.429310369499438,0.08984917882167016,0.07910281419754028,0.039541096103272784,0.999217945054507,0.0,2.266256301723553e-05
1784885672891811217,1784885672895502257,2.429310369499438,0.08984917882167016,0.07910448312759401,0.039541929915688376,0.9992179120584973,0.0,3.33568097375534e-05
