t_ns,t_bag_ns,mx,my,mz
1784885677241164535,1784885677244637239,0.0,0.0,0.0
1784885677291173422,1784885677297537484,0.0,0.0,0.0
1784885677341228339,1784885677344636367,0.0,0.0,0.0
1784885677391125389,1784885677401543427,0.0,0.0,0.0
1784885677441135553,1784885677442899642,0.0,0.0,0.0
1784885677491139088,1784885677494035131,0.0,0.0,0.0
1784885677541185784,1784885677547014347,0.0,0.0,0.0
1784885677591136678,1784885677594532541,0.0,0.0,0.0
1784885677641090239,1784885677649755335,0.0,0.0,0.0
1784885677691793048,1784885677696028572,0.0,0.0,0.0
1784885677741128342,1784885677753934013,0.0,0.0,0.0
1784885677791108177,1784885677795738091,0.0,0.0,0.0
1784885677841060053,1784885677844822606,0.0,0.0,0.0
1784885677891067976,1784885677897482366,0.0,0.0,0.0
1784885677941099193,1784885677943818650,0.0,0.0,0.0
1784885677991097229,1784885678001417485,0.0,0.0,0.0
1784885678041050853,1784885678042512873,0.0,0.0,0.0
1784885678091050157,1784885678093601916,0.0,0.0,0.0
1784885678141131173,1784885678146858696,0.0,0.0,0.0
1784885678191379110,1784885678194513991,0.0,0.0,0.0
1784885678241088400,1784885678249655011,0.0,0.0,0.0
1784885678291004327,1784885678295493262,0.0,0.0,0.0
1784885678340995096,1784885678352691200,0.0,0.0,0.0
1784885678390979236,1784885678394532948,0.0,0.0,0.0
1784885678440989336,1784885678442852485,0.0,0.0,0.0
1784885678491013341,1784885678497469781,0.0,0.0,0.0
1784885678540981909,1784885678543900950,0.0,0.0,0.0
1784885678590987583,1784885678601503851,0.0,0.0,0.0
1784885678640992628,1784885678643072822,0.0,0.0,0.0
1784885678690985934,1784885678694089578,0.0,0.0,0.0
1784885678740960279,1784885678746696782,0.0,0.0,0.0
1784885678790975119,1784885678795615588,0.0,0.0,0.0
1784885678840988088,1784885678850510882,0.0,0.0,0.0
1784885678891002169,1784885678893504063,0.0,0.0,0.0
1784885678940981495,1784885678953570346,0.0,0.0,0.0
1784885678990907736,1784885678994505590,0.0,0.0,0.0
1784885679040923360,1784885679042737924,0.0,0.0,0.0
1784885679090913398,1784885679098142621,0.0,0.0,0.0
1784885679140871569,1784885679143771743,0.0,0.0,0.0
1784885679190888862,1784885679201535614,0.0,0.0,0.0
1784885679240963092,1784885679242876032,0.0,0.0,0.0
1784885679290948279,1784885679293528144,0.0,0.0,0.0
1784885679340912209,1784885679347815940,0.0,0.0,0.0
1784885679390862752,1784885679393055875,0.0,0.0,0.0
1784885679440889210,1784885679449794536,0.0,0.0,0.0
1784885679490928908,1784885679493519439,0.0,0.0,0.0
1784885679540869304,1784885679553847159,0.0,0.0,0.0
1784885679590817403,1784885679594665409,0.0,0.0,0.0
1784885679640802275,1784885679643675637,0.0,0.0,0.0
1784885679691008134,1784885679698522096,0.0,0.0,0.0
1784885679740852729,1784885679744719269,0.0,0.0,0.0
1784885679790876373,1784885679801521477,0.0,0.0,0.0
1784885679840853061,1784885679842769722,0.0,0.0,0.0
1784885679890787606,1784885679894373500,0.0,0.0,0.0
1784885679940865465,1784885679946965919,0.0,0.0,0.0
1784885679990808417,1784885679995617493,0.0,0.0,0.0
1784885680040812792,1784885680049557179,0.0,0.0,0.0
1784885680090805672,1784885680093675980,0.0,0.0,0.0
1784885680140752262,1784885680152802544,0.0,0.0,0.0
1784885680190730755,1784885680194548469,0.0,0.0,0.0
1784885680240720264,1784885680242719359,0.0,0.0,0.0
1784885680290750065,1784885680297571550,0.0,0.0,0.0
1784885680340801325,1784885680343717238,0.0,0.0,0.0
1784885680390878953,1784885680401561238,0.0,0.0,0.0
1784885680440703448,1784885680444014213,0.0,0.0,0.0
1784885680490723028,1784885680493455373,0.0,0.0,0.0
1784885680540785490,1784885680545958851,0.0,0.0,0.0
1784885680590726766,1784885680594504634,0.0,0.0,0.0
1784885680640748901,1784885680649730736,0.0,0.0,0.0
1784885680690674956,1784885680693479884,0.0,0.0,0.0
1784885680740664744,1784885680752537106,0.0,0.0,0.0
1784885680790665733,1784885680794887003,0.0,0.0,0.0
1784885680840704514,1784885680842753176,0.0,0.0,0.0
1784885680890679878,1784885680897565261,0.0,0.0,0.0
