t_ns,t_bag_ns,mx,my,mz
1789550083570433093,1789550083575911573,0.0,0.0,0.0
1789550083575382132,1789550083585580339,0.0,0.0,0.0
1789550083587584713,1789550083589124610,0.0,0.0,0.0
1789550083592390421,1789550083595006532,0.0,0.0,0.0
1789550083597295016,1789550083606014270,0.0,0.0,0.0
1789550083606661339,1789550083610016630,0.0,0.0,0.0
1789550083611186085,1789550083615228279,0.0,0.0,0.0
1789550083616526900,1789550083626269128,0.0,0.0,0.0
1789550083627341731,1789550083629851399,0.0,0.0,0.0
1789550083632304345,1789550083636142503,0.0,0.0,0.0
1789550083638896576,1789550083647078667,0.0,0.0,0.0
1789550083650220256,1789550083653099903,0.0,0.0,0.0
1789550083654250654,1789550083657167300,0.0,0.0,0.0
1789550083658448421,1789550083668232593,0.0,0.0,0.0
1789550083669867712,1789550083673108781,0.0,0.0,0.0
1789550083674303551,1789550083678481762,0.0,0.0,0.0
1789550083689248187,1789550083692072019,0.0,0.0,0.0
1789550083694368429,1789550083697184742,0.0,0.0,0.0
1789550083697404371,1789550083710451224,0.0,0.0,0.0
1789550083711286847,1789550083715625225,0.0,0.0,0.0
1789550083716391164,1789550083720186415,0.0,0.0,0.0
1789550083720606041,1789550083731123098,0.0,0.0,0.0
1789550083732133887,1789550083737422053,0.0,0.0,0.0
1789550083738293807,1789550083740218293,0.0,0.0,0.0
1789550083752225709,1789550083754112955,0.0,0.0,0.0
1789550083757367766,1789550083760168598,0.0,0.0,0.0
1789550083762320509,1789550083773415987,0.0,0.0,0.0
1789550083774281314,1789550083777581457,0.0,0.0,0.0
1789550083780460011,1789550083782405035,0.0,0.0,0.0
1789550083783319843,1789550083796197272,0.0,0.0,0.0
1789550083796187568,1789550083801034164,0.0,0.0,0.0
1789550083803572683,1789550083815700024,0.0,0.0,0.0
1789550083817117162,1789550083822461106,0.0,0.0,0.0
1789550083822360514,1789550083826883872,0.0,0.0,0.0
1789550083827658514,1789550083837003764,0.0,0.0,0.0
1789550083836539619,1789550083840487202,0.0,0.0,0.0
1789550083842205857,1789550083845317631,0.0,0.0,0.0
1789550083856581682,1789550083864649107,0.0,0.0,0.0
1789550083862013478,1789550083871190950,0.0,0.0,0.0
1789550083870638306,1789550083885722737,0.0,0.0,0.0
1789550083882656926,1789550083891437568,0.0,0.0,0.0
1789550083900871317,1789550083903901573,0.0,0.0,0.0
1789550083905894670,1789550083907996989,0.0,0.0,0.0
1789550083910132715,1789550083919964350,0.0,0.0,0.0
1789550083922532943,1789550083928351421,0.0,0.0,0.0
1789550083931877562,1789550083940738149,0.0,0.0,0.0
1789550083942627709,1789550083944738491,0.0,0.0,0.0
1789550083949698623,1789550083961994185,0.0,0.0,0.0
1789550083964100763,1789550083968765341,0.0,0.0,0.0
1789550083970928252,1789550083981589492,0.0,0.0,0.0
1789550083984120715,1789550083987485803,0.0,0.0,0.0
