t_ns,x,y,yaw,n_matched,inlier_frac,rmse_m,quality
1789550083667763430,-0.027596167433059454,-0.614340470647344,-0.02820715502414646,228,1.0,0.00561,good
1789550083777845511,-0.027082732111078468,-0.6129667915356213,-0.026783655888738055,231,1.0,0.00398,good
1789550083887776760,-0.02818471527262971,-0.6124208552645397,-0.024843825913245916,228,1.0,0.00481,good
1789550083997747305,-0.02596008300013027,-0.6137925421395521,-0.023757391390553044,230,1.0,0.00504,good
1789550084107713004,-0.025236302265712288,-0.6143175336513156,-0.02418506238875813,229,1.0,0.00517,good
1789550084217884070,-0.024323250502677432,-0.6153745678043149,-0.027835446035127807,228,1.0,0.0051,good
1789550084327760176,-0.024358326306960183,-0.6150264079328841,-0.024732412089438594,228,1.0,0.00435,good
1789550084437768817,-0.025151535512694653,-0.6147351215864736,-0.02825301548270384,230,1.0,0.0032,good
1789550084548057475,-0.02506592249866682,-0.6152838610945848,-0.02816262045909112,228,1.0,0.00406,good
1789550084657834026,-0.0241393624468069,-0.6158434161276685,-0.024135962220019257,231,1.0,0.00438,good
1789550084767752187,-0.024927230330434272,-0.6159889789007502,-0.022122487462703417,227,1.0,0.00445,good
1789550084877743792,-0.026751440616862333,-0.6146766271482368,-0.023544066386835524,235,1.0,0.00527,good
1789550084987810544,-0.027995048749834234,-0.6140472198012917,-0.021282844438983418,231,1.0,0.00494,good
1789550085097759911,-0.027289862078957727,-0.6153980025832758,-0.021746354559804372,225,1.0,0.00484,good
1789550085207724015,-0.02983964123009287,-0.6165622446955626,-0.02780861899565551,236,0.9958,0.00637,good
1789550085317800063,-0.019562975285700404,-0.61592995546914,-0.01320381110502161,226,1.0,0.00676,good
1789550085427768001,-0.0014253143955144107,-0.6138028643920348,-0.007339225802586311,230,1.0,0.00475,good
1789550085537771383,0.01699193182286591,-0.6120804104854466,-0.007082096335534416,232,1.0,0.00542,good
1789550085647716803,0.03874392407442378,-0.6111054627729409,-0.004007453891681444,227,1.0,0.00501,good
1789550085758387231,0.05805126040654784,-0.6110404820574118,-0.0033166702789825643,226,1.0,0.00411,good
1789550085867718290,0.07894138929262258,-0.6109762866909506,-0.0009949532601408514,230,1.0,0.00636,good
1789550085977851466,0.09961772892289653,-0.609482531981455,-0.0012822063462546475,231,1.0,0.00357,good
1789550086087775882,0.12271305096070441,-0.6088441359666346,-0.003084958338533606,236,1.0,0.00464,good
