t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550084191516360,1789550084195832794,274.619414544,426.458989848,0.0,0.0
1789550084197448091,1789550084199737455,274.619414544,426.458989848,0.0,0.0
1789550084202288223,1789550084211846266,274.619414544,426.458989848,0.0,0.0
1789550084211346623,1789550084213581562,274.620948525,426.458989848,0.0,0.0
1789550084213893614,1789550084220914925,274.620948525,426.458989848,0.0,0.0
1789550084220414153,1789550084233235938,274.620948525,426.458989848,0.0,0.0
1789550084233410769,1789550084238540398,274.619414544,426.458989848,0.0,0.0
1789550084238214698,1789550084241617901,274.619414544,426.458989848,0.0,0.0
1789550084253978987,1789550084258058146,274.619414544,426.458989848,0.0,0.0
1789550084257964221,1789550084261354703,274.619414544,426.458989848,0.0,0.0
1789550084262475542,1789550084276183928,274.619414544,426.458989848,0.0,0.0
1789550084275878321,1789550084279284635,274.619414544,426.458989848,0.0,0.0
1789550084280361919,1789550084283484700,274.619414544,426.458989848,0.0,0.0
1789550084284786037,1789550084295025110,274.619414544,426.458989848,0.0,0.0
1789550084295105665,1789550084297838042,274.619414544,426.458989848,0.0,0.0
1789550084299430876,1789550084303554350,274.619414544,426.458989848,0.0,0.0
1789550084304055751,1789550084317476252,274.619414544,426.458989848,0.0,0.0
1789550084319525211,1789550084322622380,274.619414544,426.458989848,0.0,0.0
1789550084323338817,1789550084325563589,274.619414544,426.458989848,0.0,0.0
1789550084327196923,1789550084337482328,274.619414544,426.458989848,0.0,0.0
1789550084337486032,1789550084342942472,274.619414544,426.458989848,0.0,0.0
1789550084342225387,1789550084346981520,274.619414544,426.458989848,0.0,0.0
1789550084347400404,1789550084357678439,274.619414544,426.458989848,0.0,0.0
1789550084358063991,1789550084361293733,274.619414544,426.458989848,0.0,0.0
1789550084362158409,1789550084365203171,274.619414544,426.458989848,0.0,0.0
1789550084367439350,1789550084378778207,274.619414544,426.458989848,0.0,0.0
1789550084378445229,1789550084384472941,274.619414544,426.458989848,0.0,0.0
1789550084385947795,1789550084389973010,274.619414544,426.458989848,0.0,0.0
1789550084389865937,1789550084400160120,274.619414544,426.458989848,0.0,0.0
1789550084402347392,1789550084405024937,274.619414544,426.458989848,0.0,0.0
1789550084407293338,1789550084423486289,274.619414544,426.458989848,0.0,0.0
1789550084423440086,1789550084428688769,274.619414544,426.458989848,0.0,0.0
1789550084428282922,1789550084441785810,274.619414544,426.458989848,0.0,0.0
1789550084442504376,1789550084445850025,274.619414544,426.458989848,0.0,0.0
1789550084448281572,1789550084450514603,274.619414544,426.458989848,0.0,0.0
1789550084452835355,1789550084464307674,274.619414544,426.458989848,0.0,0.0
1789550084464289841,1789550084468488294,274.619414544,426.458989848,0.0,0.0
1789550084468094428,1789550084473141095,274.619414544,426.458989848,0.0,0.0
1789550084473229890,1789550084484238880,274.619414544,426.458989848,0.0,0.0
1789550084487328180,1789550084491406561,274.620948525,426.458989848,0.0,0.0
1789550084504485954,1789550084507067481,274.620948525,426.458989848,0.0,0.0
1789550084507396014,1789550084510936420,274.619414544,426.458989848,0.0,0.0
1789550084512260757,1789550084525037413,274.619414544,426.458989848,0.0,0.0
1789550084524705731,1789550084527878882,274.619414544,426.458989848,0.0,0.0
1789550084528377524,1789550084532146927,274.619414544,426.458989848,0.0,0.0
1789550084532411832,1789550084535111561,274.619414544,426.458989848,0.0,0.0
