t_ns,t_bag_ns,x,y,yaw,qz,qw,v_lin,w_ang
1789550083534283624,1789550083565086927,-0.03647811209458977,-0.6129436221963062,-0.02735686302185132,0.013678004976992472,-0.9999064517142838,0.0,0.0010747043568415644
1789550083548607838,1789550083572256876,-0.03647811209458977,-0.6129436221963062,-0.02735686302185132,0.013678004976992472,-0.9999064517142838,0.0,0.0
1789550083565367406,1789550083575867907,-0.03647811209458977,-0.6129436221963062,-0.027364611625672122,0.013681878916365907,-0.9999063987140586,0.0,-0.00046233911403926293
1789550083570433093,1789550083588477781,-0.03647811209458977,-0.6129436221963062,-0.027364611625672122,0.013681878916365907,-0.9999063987140586,0.0,0.0
1789550083575382132,1789550083592288940,-0.03647811209458977,-0.6129436221963062,-0.027377128601074954,0.013688136817996834,-0.9999063130666052,0.0,-0.0025291729167686962
1789550083587584713,1789550083595458862,-0.03647811209458977,-0.6129436221963062,-0.027377128601074954,0.013688136817996834,-0.9999063130666052,0.0,0.0
1789550083592390421,1789550083596580039,-0.03647811209458977,-0.6129436221963062,-0.027377128601074954,0.013688136817996834,-0.9999063130666052,0.0,0.0
1789550083597295016,1789550083611072605,-0.03647811209458977,-0.6129436221963062,-0.027346253395081302,0.013672700659671229,-0.9999065242594785,0.0,0.006295159130091749
1789550083606661339,1789550083616994841,-0.03645281087152483,-0.612944314262485,-0.027346253395081302,0.013672700659671229,-0.9999065242594785,0.0027023076572553857,0.0
1789550083611186085,1789550083627297213,-0.03645281087152483,-0.612944314262485,-0.027346253395081302,0.013672700659671229,-0.9999065242594785,0.0,0.0
1789550083616526900,1789550083630963484,-0.03645281087152483,-0.612944314262485,-0.02736568450927808,0.013682415307955272,-0.999906391374383,0.0,-0.0036382301571534206
1789550083627341731,1789550083632158642,-0.036478112081137375,-0.6129436217046753,-0.02736568450927808,0.013682415307955272,-0.999906391374383,-0.002340368181733698,0.0
1789550083632304345,1789550083650180035,-0.036478112081137375,-0.6129436217046753,-0.02736568450927808,0.013682415307955272,-0.999906391374383,0.0,0.0
1789550083638896576,1789550083654176266,-0.036478112081137375,-0.6129436217046753,-0.02736657857894971,0.013682862300943404,-0.9999063852577668,0.0,-0.00013562474853063544
1789550083650220256,1789550083658363014,-0.03645281087214403,-0.612944314285106,-0.02736657857894971,0.013682862300943404,-0.9999063852577668,0.0022351997198108067,0.0
1789550083654250654,1789550083670049081,-0.03645281087214403,-0.612944314285106,-0.02736657857894971,0.013682862300943404,-0.9999063852577668,0.0,0.0
1789550083658448421,1789550083674585178,-0.03645281087214403,-0.612944314285106,-0.027334570884705325,0.01366685995026567,-0.9999066041081536,0.0,0.007624933504976519
1789550083669867712,1789550083689228483,-0.03647811210329231,-0.612943622514509,-0.027334570884705325,0.01366685995026567,-0.9999066041081536,-0.0022164849256602038,0.0
1789550083674303551,1789550083694245300,-0.03647811210329231,-0.612943622514509,-0.027334570884705325,0.01366685995026567,-0.9999066041081536,0.0,0.0
1789550083689248187,1789550083697316779,-0.03647811210329231,-0.612943622514509,-0.027367115020752685,0.01368313049673497,-0.9999063815877011,0.0,-0.002177646618315982
