t_ns,t_bag_ns,wx,wy,wz,ax,ay,az,qx,qy,qz,qw
1784885672291882008,1784885672296145987,0.0,0.0,0.0,0.016759412363171577,-0.2064998894929886,9.756970405578613,0.010564595460891724,-0.003060747403651476,0.3940739631652832,-0.9190082550048828
1784885672341931243,1784885672349806162,0.0,0.0,0.0,0.028730420395731926,-0.24001871049404144,9.880271911621094,0.010153803043067455,-0.0034089137334376574,0.3940696716308594,-0.9190135598182678
1784885672391838924,1784885672396385123,0.0,0.0,0.0,0.0071826050989329815,-0.20290859043598175,9.896432876586914,0.009370428510010242,-0.0038380008190870285,0.39406463503837585,-0.919022262096405
1784885672441943799,1784885672452544893,0.0,0.0,0.0,-0.004788403399288654,-0.2322375625371933,9.821613311767578,0.010758965276181698,-0.0049208542332053185,0.3940522074699402,-0.9190072417259216
1784885672491884198,1784885672494416326,0.0,0.0,0.0,-0.02274491637945175,-0.2059013396501541,9.9586820602417,0.009067636914551258,-0.00511499959975481,0.3940484821796417,-0.9190260171890259
1784885672541817875,1784885672544597061,0.0,0.0,0.0,-0.021547814831137657,-0.17477671802043915,9.866504669189453,0.009124020114541054,-0.004857816733419895,0.394049733877182,-0.9190263152122498
1784885672591931138,1784885672597918561,0.0,0.0,0.0,-0.0071826050989329815,-0.2064998894929886,9.857526779174805,0.010213758796453476,-0.004430134780704975,0.3940575420856476,-0.9190136790275574
1784885672641806027,1784885672643452500,0.0,0.0,0.0,-0.0071826050989329815,-0.2322375625371933,9.88625717163086,0.010683844797313213,-0.003901495598256588,0.3940623998641968,-0.9190086126327515
1784885672691792215,1784885672701427814,0.0,0.0,0.0,-0.01975216343998909,-0.19153612852096558,9.879075050354004,0.008682627230882645,-0.004837209824472666,0.3940466344356537,-0.9190319776535034
1784885672741848634,1784885672746242891,0.0,0.0,0.0,0.010175356641411781,-0.2238578498363495,9.87967300415039,0.010118796490132809,-0.004713850095868111,0.39404913783073425,-0.9190168976783752
1784885672791806789,1784885672793476611,0.0,0.0,0.0,0.03531447425484657,-0.22026655077934265,9.90361499786377,0.00936153344810009,-0.004456580616533756,0.3940516412258148,-0.9190251231193542
1784885672841778553,1784885672847770717,0.0,0.0,0.0,0.0,-0.1951274424791336,9.86231517791748,0.00908655859529972,-0.003877911251038313,0.39405712485313416,-0.919028103351593
1784885672891811217,1784885672894496712,0.0,0.0,0.0,-0.02992752008140087,-0.20769698917865753,9.910798072814941,0.010627876967191696,-0.005228493828326464,0.3940410912036896,-0.9190117716789246
1784885672941770705,1784885672949611369,0.0,0.0,0.0,-0.0347159244120121,-0.19692309200763702,9.860519409179688,0.010025043971836567,-0.003704117378219962,0.3940574824810028,-0.9190189242362976
